,Book_ID,Author,Title,URL,LoC_class,Subject,Subject2,Subject3,Subject4
60,2192,"Galsworthy, John",The Dark Flower,http://www.gutenberg.org/files/2192/2192-0.txt,PR,Artists -- Fiction,Man-woman relationships -- Fiction,Italy -- Fiction,England -- Fiction
196,3242,"Connor, Ralph",The Doctor : A Tale of the Rockies,http://www.gutenberg.org/files/3242/3242-0.txt,Rocky Mountains -- Fiction,PS,Mountain life -- Fiction,Physicians -- Fiction,Canada -- Fiction
261,7100,"Twain, Mark","Adventures of Huckleberry Finn, Chapters 01 to 05",http://www.gutenberg.org/ebooks/7100.txt.utf-8,Male friendship -- Fiction,Humorous stories,Missouri -- Fiction,Race relations -- Fiction,PZ
274,3247,"Connor, Ralph",The Patrol of the Sun Dance Trail,http://www.gutenberg.org/files/3247/3247-0.txt,PS,Canada -- Fiction,North West Mounted Police (Canada) -- Fiction,,
425,5841,"Twain, Mark","Sketches New and Old, Part 6.",http://www.gutenberg.org/ebooks/5841.txt.utf-8,PS,United States -- Social life and customs -- Fiction,"Humorous stories, American",,
447,3722,"Stratton-Porter, Gene",A Daughter of the Land,http://www.gutenberg.org/ebooks/3722.txt.utf-8,PZ,PS,Farm life -- Indiana -- Fiction,Sex role -- Fiction,Indiana -- Fiction
484,43083,"Hope, Anthony",A Young Man's Year,http://www.gutenberg.org/ebooks/43083.txt.utf-8,PR,England -- Social life and customs -- Fiction,Man-woman relationships -- Fiction,Young men -- Fiction,Lawyers -- Fiction
639,5405,"Beach, Rex",The Ne'er-Do-Well,http://www.gutenberg.org/ebooks/5405.txt.utf-8,PS,Travel -- Fiction,Love stories,,
717,1028,"Brontë, Charlotte",The Professor,http://www.gutenberg.org/files/1028/1028-0.txt,PR,Belgium -- Social life and customs -- 19th century -- Fiction,British -- Belgium -- Fiction,Triangles (Interpersonal relations) -- Fiction,Women teachers -- Fiction
794,39215,"Weyman, Stanley John",The New Rector,http://www.gutenberg.org/ebooks/39215.txt.utf-8,England -- Social life and customs -- 19th century -- Fiction,Clergy -- England -- Fiction,PR,,
934,7102,"Twain, Mark","Adventures of Huckleberry Finn, Chapters 11 to 15",http://www.gutenberg.org/ebooks/7102.txt.utf-8,PS,Humorous stories,Missouri -- Fiction,Race relations -- Fiction,PZ
986,8188,"Alcott, Louisa May",The Mysterious Key and What It Opened,http://www.gutenberg.org/ebooks/8188.txt.utf-8,PS,Mystery fiction,Household employees -- Fiction,,
1178,139,"Doyle, Arthur Conan",The Lost World,http://www.gutenberg.org/ebooks/139.txt.utf-8,PR,Fantasy fiction,South America -- Fiction,"Challenger, Professor (Fictitious character) -- Fiction",Dinosaurs -- Fiction
1211,81,"Burroughs, Edgar Rice",The Return of Tarzan,http://www.gutenberg.org/ebooks/81.txt.utf-8,PZ,Fantasy fiction,Tarzan (Fictitious character) -- Fiction,Adventure stories,PS
1402,37581,"Dickens, Charles",The Cricket on the Hearth: A Fairy Tale of Home,http://www.gutenberg.org/ebooks/37581.txt.utf-8,England -- Social life and customs -- 19th century -- Fiction,PR,Holidays -- Fiction,"Christmas stories, English",
1463,37364,"Kipling, Rudyard",The Second Jungle Book,http://www.gutenberg.org/ebooks/37364.txt.utf-8,PR,Mowgli (Fictitious character) -- Fiction,India -- Fiction,Jungle animals -- Fiction,
1539,48732,"Hugo, Victor","Les Misérables, v. 2/5: Cosette",http://www.gutenberg.org/files/48732/48732-0.txt,PQ,Paris (France) -- Fiction,Orphans -- Fiction,Ex-convicts -- Fiction,Historical fiction
1545,14211,"Ford, Paul Leicester",Wanted—A Match Maker,http://www.gutenberg.org/ebooks/14211.txt.utf-8,New York (N.Y.) -- Fiction,Love stories,Medical fiction,PS,
1573,2596,"Galsworthy, John","The Forsyte Saga, Volume III. Awakening To Let",http://www.gutenberg.org/files/2596/2596-0.txt,Women -- England -- Fiction,England -- Social life and customs -- 20th century -- Fiction,Forsyte family (Fictitious characters) -- Fiction,Middle class -- England -- Fiction,PR
1701,11052,"Wharton, Edith",The Custom of the Country,http://www.gutenberg.org/ebooks/11052.txt.utf-8,Upper class -- Fiction,PS,Divorced women -- Fiction,Paris (France) -- Fiction,Satire
1730,2158,"Trollope, Anthony",The Prime Minister,http://www.gutenberg.org/ebooks/2158.txt.utf-8,Political fiction,PR,Prime ministers -- Fiction,London (England) -- Fiction,"Palliser, Plantagenet (Fictitious character) -- Fiction"
1734,5165,"Corelli, Marie",Innocent : her fancy and his fact,http://www.gutenberg.org/ebooks/5165.txt.utf-8,PR,Love stories,Fiction,,
1754,29568,"Bacheller, Irving",'Charge It': Keeping Up With Harry,http://www.gutenberg.org/ebooks/29568.txt.utf-8,PS,Humorous stories,Didactic fiction,,
1764,17359,"MacGrath, Harold",Arms and the Woman,http://www.gutenberg.org/ebooks/17359.txt.utf-8,PS,Love stories,Fiction,,
1842,3289,"Doyle, Arthur Conan",The Valley of Fear,http://www.gutenberg.org/files/3289/3289-0.txt,PR,Private investigators -- England -- Fiction,Detective and mystery stories,"Holmes, Sherlock (Fictitious character) -- Fiction",
1850,163,"Alcott, Louisa May",Flower Fables,http://www.gutenberg.org/ebooks/163.txt.utf-8,Fairies -- Juvenile poetry,"Children's stories, American",PZ,Flowers -- Juvenile fiction,Flowers -- Juvenile poetry
1867,786,"Dickens, Charles",Hard Times,http://www.gutenberg.org/files/786/786-0.txt,PR,England -- Fiction,Political fiction,Domestic fiction,Utilitarianism -- Fiction
1995,42729,"Black, William","Stand Fast, Craig-Royston! (Volume I)",http://www.gutenberg.org/files/42729/42729-0.txt,Scotland -- Social life and customs -- 19th century -- Fiction,Grandfathers -- Fiction,PR,Older people -- Fiction,Families -- Fiction
2085,149,"Burroughs, Edgar Rice",The Lost Continent,http://www.gutenberg.org/ebooks/149.txt.utf-8,England -- Fiction,PS,Science fiction,Fantasy fiction,
