,Book_ID,Author,Title,URL,LoC_class,Subject,Subject2,Subject3,Subject4
115,45801,"Benson, E. F. (Edward Frederic)",The House of Defence v. 2,http://www.gutenberg.org/ebooks/45801.txt.utf-8,PR,Christian Science -- Fiction,England -- Social life and customs -- Fiction,Spiritual healing -- Fiction,
142,1059,"Wells, H. G. (Herbert George)",The World Set Free,http://www.gutenberg.org/files/1059/1059-0.txt,Nuclear warfare -- Fiction,Imaginary wars and battles -- Fiction,War stories,PR,
394,29573,"Crane, Stephen",The O'Ruddy: A Romance,http://www.gutenberg.org/ebooks/29573.txt.utf-8,PS,England -- Social life and customs -- 18th century -- Fiction,Adventure stories,Irish -- England -- Fiction,
478,7709,"Lytton, Edward Bulwer Lytton, Baron",My Novel — Volume 08,http://www.gutenberg.org/ebooks/7709.txt.utf-8,PR,Inventors -- Fiction,Germany -- Fiction,England -- Fiction,Death -- Fiction
532,780,"Wells, H. G. (Herbert George)",The War in the Air,http://www.gutenberg.org/files/780/780-0.txt,PR,Science fiction,War stories,Air warfare -- Fiction,
584,416,"Anderson, Sherwood","Winesburg, Ohio: A Group of Tales of Ohio Small Town Life",http://www.gutenberg.org/ebooks/416.txt.utf-8,PS,City and town life -- Fiction,Pastoral fiction,Ohio -- Social life and customs -- Fiction,
749,7684,"Lytton, Edward Bulwer Lytton, Baron",Harold : the Last of the Saxon Kings — Complete,http://www.gutenberg.org/files/7684/7684-0.txt,PR,"Great Britain -- History -- Edward, the Confessor, 1042-1066 -- Fiction",Great Britain -- Kings and rulers -- Fiction,Biographical fiction,"Harold, King of England, 1022?-1066 -- Fiction"
844,36,"Wells, H. G. (Herbert George)",The War of the Worlds,http://www.gutenberg.org/ebooks/36.txt.utf-8,PR,War stories,Mars (Planet) -- Fiction,Science fiction,Martians -- Fiction
932,36220,"Robins, Elizabeth",My Little Sister,http://www.gutenberg.org/ebooks/36220.txt.utf-8,PS,Sisters -- Fiction,England -- Fiction,Prostitution -- Fiction,Abduction -- Fiction
1032,12224,"Whitney, A. D. T. (Adeline Dutton Train)",We Girls: a Home Story,http://www.gutenberg.org/ebooks/12224.txt.utf-8,PS,Families -- Fiction,Young women -- United States -- Fiction,,
1046,25919,"Benson, E. F. (Edward Frederic)",Miss Mapp,http://www.gutenberg.org/ebooks/25919.txt.utf-8,Women -- England -- Fiction,Female friendship -- Fiction,PR,Humorous stories,"Mapp, Miss (Fictitious character) -- Fiction"
1130,35920,"Wells, H. G. (Herbert George)",The Sea Lady,http://www.gutenberg.org/ebooks/35920.txt.utf-8,PR,Fantasy fiction,Mermaids -- Fiction,,
1152,13997,"Whitney, A. D. T. (Adeline Dutton Train)",Real Folks,http://www.gutenberg.org/ebooks/13997.txt.utf-8,Orphanages -- Juvenile fiction,Young women -- Juvenile fiction,Play -- Juvenile fiction,PZ,Brothers and sisters -- Juvenile fiction
1302,1303,"Caine, Hall, Sir",The Scapegoat,http://www.gutenberg.org/files/1303/1303-0.txt,PR,Sephardim -- Morocco -- Fiction,Jews -- Morocco -- Fiction,,
1444,26986,"Stacpoole, H. De Vere (Henry De Vere)",The Ghost Girl,http://www.gutenberg.org/ebooks/26986.txt.utf-8,PR,Charleston (S.C.) -- Fiction,Guardian and ward -- Fiction,Love stories,
1514,15808,"Benson, Robert Hugh","The History of Richard Raynal, Solitary",http://www.gutenberg.org/ebooks/15808.txt.utf-8,PR,Hermits -- Fiction,Historical fiction,"Great Britain -- History -- Henry VI, 1422-1461 -- Fiction",
