,Book_ID,Author,Title,URL,LoC_class,Subject,Subject2,Subject3,Subject4
143,33498,"Rhodes, Eugene Manlove","Bransford of Rainbow Range Originally Published under the title of Bransford in Arcadia, or, The Little Eohippus",http://www.gutenberg.org/ebooks/33498.txt.utf-8,PS,Western stories,Fiction,,
487,9988,"Maniates, Belle Kanaris",Amarilly of Clothes-line Alley,http://www.gutenberg.org/ebooks/9988.txt.utf-8,PS,Young women -- Fiction,Poor -- Fiction,,
711,41552,"Dowling, Richard",The Weird Sisters: A Romance. Volume 1 (of 3),http://www.gutenberg.org/ebooks/41552.txt.utf-8,PR,Bankers -- Fiction,Paranoia -- Fiction,Families -- Fiction,
932,36220,"Robins, Elizabeth",My Little Sister,http://www.gutenberg.org/ebooks/36220.txt.utf-8,PS,Sisters -- Fiction,England -- Fiction,Prostitution -- Fiction,Abduction -- Fiction
957,25396,"May, Sophie",Dotty Dimple At Home,http://www.gutenberg.org/ebooks/25396.txt.utf-8,PZ,Temper tantrums -- Juvenile fiction,Conduct of life -- Juvenile fiction,,
1295,42797,"Sherwood, Margaret Pollock",The Worn Doorstep,http://www.gutenberg.org/ebooks/42797.txt.utf-8,Diary fiction,PS,Americans -- England -- Fiction,"World War, 1914-1918 -- England -- Fiction",
1619,29776,"Libbey, Laura Jean","Pretty Madcap Dorothy; Or, How She Won a Lover",http://www.gutenberg.org/ebooks/29776.txt.utf-8,PS,United States -- Social life and customs -- 1865-1918 -- Fiction,Bookbinders -- New York (State) -- New York -- Fiction,Women employees -- New York (State) -- New York -- Fiction,
1809,19041,"Foote, John Taintor",Blister Jones,http://www.gutenberg.org/ebooks/19041.txt.utf-8,Horse racing -- Fiction,PS,Thoroughbred horse -- Fiction,,
2074,42230,"Everett-Green, Evelyn",Esther's Charge: A Story for Girls,http://www.gutenberg.org/ebooks/42230.txt.utf-8,Attitude change -- Juvenile fiction,Youth -- Conduct of life -- Juvenile fiction,Obedience -- Juvenile fiction,Orphans -- Juvenile fiction,Domestic animals -- Juvenile fiction
2152,702,"Young, Martha",Somebody's Little Girl,http://www.gutenberg.org/ebooks/702.txt.utf-8,PZ,Girls -- Juvenile fiction,Orphanages -- Juvenile fiction,,
2224,42599,"Dowling, Richard",The Duke's Sweetheart: A Romance,http://www.gutenberg.org/ebooks/42599.txt.utf-8,England -- Social life and customs -- 19th century -- Fiction,PR,Aristocracy (Social class) -- Fiction,Man-woman relationships -- Fiction,
2248,10608,"Smith, Arthur Cosslett","The Turquoise Cup, and, the Desert",http://www.gutenberg.org/ebooks/10608.txt.utf-8,PS,Cardinals -- Fiction,Sahara -- Fiction,Love stories,
2964,32222,"Dahn, Felix",Felicitas: A Tale of the German Migrations: A.D. 476,http://www.gutenberg.org/ebooks/32222.txt.utf-8,Salzburg (Austria : Land) -- History -- Fiction,Migrations of nations -- Fiction,PT,,
3466,20569,"Peterson, Henry",Dulcibel: A Tale of Old Salem,http://www.gutenberg.org/ebooks/20569.txt.utf-8,PS,Historical fiction,Trials (Witchcraft) -- Fiction,"Salem (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction",Witches -- Fiction
3502,40600,"Whitaker, Herman",Over the Border: A Novel,http://www.gutenberg.org/files/40600/40600-0.txt,PS,Western stories,Mexico -- Fiction,Outlaws -- Fiction,
3666,40398,"Whitlock, Brand",The Turn of the Balance,http://www.gutenberg.org/files/40398/40398-0.txt,Social problems -- Fiction,Criminals -- Fiction,United States -- Social conditions -- 1865-1918 -- Fiction,PS,
3772,15670,"Everett-Green, Evelyn",The Secret Chamber at Chad,http://www.gutenberg.org/ebooks/15670.txt.utf-8,Brothers -- Juvenile fiction,Nobility -- England -- Juvenile fiction,PZ,Conduct of life -- Juvenile fiction,Heresy -- Juvenile fiction
4331,42085,"Ayres, Ruby M. (Ruby Mildred)",A Bachelor Husband,http://www.gutenberg.org/ebooks/42085.txt.utf-8,PR,England -- Social life and customs -- 20th century -- Fiction,Triangles (Interpersonal relations) -- Fiction,Inheritance and succession -- Fiction,Marriage -- Fiction
4575,1431,"Schreiner, Olive",Trooper Peter Halket of Mashonaland,http://www.gutenberg.org/files/1431/1431-0.txt,PR,"Africa, Southern -- Fiction","Zimbabwe -- History -- Shona Revolt, 1896-1897 -- Fiction",,
4608,37584,"Onions, Oliver",A Crooked Mile,http://www.gutenberg.org/ebooks/37584.txt.utf-8,PR,Man-woman relationships -- Fiction,Women -- Social and moral questions -- Fiction,Marriage -- Fiction,
4707,37327,"Stables, Gordon","O'er Many Lands, on Many Seas",http://www.gutenberg.org/ebooks/37327.txt.utf-8,PZ,Voyages and travels -- Juvenile fiction,Sailors -- Juvenile fiction,Children's stories,Indians of North America -- Juvenile fiction
4742,32461,"Dahn, Felix",The Scarlet Banner,http://www.gutenberg.org/ebooks/32461.txt.utf-8,"Africa, North -- History -- 647-1517 -- Fiction",Vandals -- Fiction,PT,,
5071,38863,"Wingfield, Lewis","My Lords of Strogue, Vol. 3 (of 3) A Chronicle of Ireland, from the Convention to the Union",http://www.gutenberg.org/ebooks/38863.txt.utf-8,PR,Ireland -- History -- 18th century -- Fiction,Historical fiction,,
5386,32330,"Dahn, Felix","A Struggle for Rome, v. 2",http://www.gutenberg.org/ebooks/32330.txt.utf-8,Byzantine Empire -- Fiction,"Rome -- History -- Empire, 284-476 -- Fiction",PT,,
5758,39482,"Onions, Oliver",Mushroom Town,http://www.gutenberg.org/ebooks/39482.txt.utf-8,PR,Cities and towns -- Growth -- Fiction,Wales -- Social life and customs -- Fiction,,
5979,39729,"Stables, Gordon","Courage, True Hearts: Sailing in Search of Fortune",http://www.gutenberg.org/files/39729/39729-0.txt,PZ,Shipwrecks -- Indian Ocean -- Juvenile fiction,Sea stories,,
6192,35571,"Schubin, Ossip",Felix Lanzberg's Expiation,http://www.gutenberg.org/ebooks/35571.txt.utf-8,Vienna (Austria) -- Fiction,Austrian fiction -- Translations into English,PT,,
6254,18961,"Lubbock, Percy",The Craft of Fiction,http://www.gutenberg.org/ebooks/18961.txt.utf-8,Fiction -- Technique,Fiction -- History and criticism,PN,,
6324,43450,"Whitaker, Herman",The Settler,http://www.gutenberg.org/files/43450/43450-0.txt,PS,Husband and wife -- Fiction,Frontier and pioneer life -- Fiction,Manitoba -- Fiction,
6673,21333,"Munro, Neil",Doom Castle,http://www.gutenberg.org/files/21333/21333-0.txt,PR,Highlands (Scotland) -- Fiction,Spies -- Scotland -- Highlands -- Fiction,Jacobites -- Fiction,Nobility -- France -- Fiction
6798,27174,"Bruce, Mary Grant",Captain Jim,http://www.gutenberg.org/ebooks/27174.txt.utf-8,PZ,England -- Juvenile fiction,"World War, 1914-1918 -- Juvenile fiction",,
6866,16699,"Cody, H. A. (Hiram Alfred)",Glen of the High North,http://www.gutenberg.org/ebooks/16699.txt.utf-8,PS,Alaska -- Fiction,Love stories,,
7017,1441,"Schreiner, Olive",The Story of an African Farm,http://www.gutenberg.org/files/1441/1441-0.txt,PR,Bildungsromans,"Africa, Southern -- Fiction",Historical fiction,Feminists -- Fiction
7279,25484,"May, Sophie",Captain Horace,http://www.gutenberg.org/ebooks/25484.txt.utf-8,PZ,Boys -- Juvenile fiction,"United States -- History -- Civil War, 1861-1865 -- Juvenile fiction",,
7610,39728,"Stables, Gordon",In Far Bolivia: A Story of a Strange Wild Land,http://www.gutenberg.org/files/39728/39728-0.txt,PZ,Cannibalism -- Juvenile fiction,Bolivia -- Juvenile fiction,Kidnapping -- Juvenile fiction,
7932,49186,"May, Sophie",Flaxie Growing Up Flaxie Frizzle Stories,http://www.gutenberg.org/files/49186/49186-0.txt,Responsibility -- Juvenile fiction,PZ,Grandmothers -- Juvenile fiction,Kindness -- Juvenile fiction,Conduct of life -- Juvenile fiction
8189,37330,"Stables, Gordon","Aileen Aroon, A Memoir With other Tales of Faithful Friends and Favourites",http://www.gutenberg.org/ebooks/37330.txt.utf-8,Pets -- Juvenile fiction,PZ,Loyalty -- Juvenile fiction,Human-animal relationships -- Juvenile fiction,Animal welfare -- Juvenile fiction
8738,10320,"May, Sophie",Dotty Dimple at Play,http://www.gutenberg.org/ebooks/10320.txt.utf-8,PZ,Girls -- Juvenile fiction,Children -- Conduct of life -- Juvenile fiction,,
9587,9749,"Bailey, H. C. (Henry Christopher)",The Highwayman,http://www.gutenberg.org/ebooks/9749.txt.utf-8,PR,Miscommunication -- Fiction,Social classes -- Fiction,Fathers and sons -- Fiction,Man-woman relationships -- Fiction
10207,3923,"Droz, Gustave","Monsieur, Madame, and Bébé — Volume 01",http://www.gutenberg.org/ebooks/3923.txt.utf-8,Family life -- Fiction,French fiction -- Translations into English,PQ,,
10287,8396,"Ollivant, Alfred",The Gentleman: A Romance of the Sea,http://www.gutenberg.org/ebooks/8396.txt.utf-8,PR,Sea stories,Fiction,,
10319,38393,"Palacio Valdés, Armando","The Fourth Estate, vol. 1",http://www.gutenberg.org/ebooks/38393.txt.utf-8,PQ,Spanish fiction -- Translations into English,Spain -- Social life and customs -- 19th century -- Fiction,,
10534,14608,"May, Sophie","Jimmy, Lucy, and All",http://www.gutenberg.org/ebooks/14608.txt.utf-8,Children -- Conduct of life -- Juvenile fiction,Parent and child -- Juvenile fiction,Play -- Juvenile fiction,PZ,Conduct of life -- Juvenile fiction
10602,36198,"Whitaker, Herman",The Mystery of The Barranca,http://www.gutenberg.org/ebooks/36198.txt.utf-8,PS,Detective and mystery stories,Mexico -- Fiction,,
10791,45682,"Onions, Oliver",Gray youth: The story of a very modern courtship and a very modern marriage,http://www.gutenberg.org/ebooks/45682.txt.utf-8,PR,Women -- Social and moral questions -- Fiction,Man-woman relationships -- Fiction,Marriage -- Fiction,
10894,35796,"Crawford, Jack Randall",I Walked in Arden,http://www.gutenberg.org/ebooks/35796.txt.utf-8,PS,Americans -- England -- Fiction,British -- United States -- Fiction,,
11002,38875,"Wingfield, Lewis",The Maid of Honour: A Tale of the Dark Days of France. Vol. 2 (of 3),http://www.gutenberg.org/ebooks/38875.txt.utf-8,PR,"France -- History -- Revolution, 1789-1799 -- Fiction",Historical fiction,,
11640,11514,"King, Grace Elizabeth",Balcony Stories,http://www.gutenberg.org/ebooks/11514.txt.utf-8,PS,Women -- Louisiana -- Fiction,New Orleans (La.) -- Fiction,,
11826,33244,"Palacio Valdés, Armando",Maximina,http://www.gutenberg.org/ebooks/33244.txt.utf-8,PQ,Married women -- Fiction,Madrid (Spain) -- Fiction,Young women -- Fiction,
11919,46813,"Whishaw, Frederick",The Romance of the Woods,http://www.gutenberg.org/ebooks/46813.txt.utf-8,PR,Hunting -- Russia,Tales -- Russia,Hunting stories,Bears -- Fiction
11920,33964,"Hocking, Joseph",The Man Who Rose Again,http://www.gutenberg.org/ebooks/33964.txt.utf-8,PR,Man-woman relationships -- Fiction,Courtship -- Fiction,,
12027,48974,"Jacobs, Joseph","As Others Saw Him: A Retrospect, A.D. 54",http://www.gutenberg.org/files/48974/48974-0.txt,PR,Bible. New Testament -- History of Biblical events -- Fiction,Biographical fiction,Jesus Christ -- Fiction,
