,Book_ID,Author,Title,URL,LoC_class,Subject,Subject2,Subject3,Subject4
447,3722,"Stratton-Porter, Gene",A Daughter of the Land,http://www.gutenberg.org/ebooks/3722.txt.utf-8,PZ,PS,Farm life -- Indiana -- Fiction,Sex role -- Fiction,Indiana -- Fiction
487,9988,"Maniates, Belle Kanaris",Amarilly of Clothes-line Alley,http://www.gutenberg.org/ebooks/9988.txt.utf-8,PS,Young women -- Fiction,Poor -- Fiction,,
794,39215,"Weyman, Stanley John",The New Rector,http://www.gutenberg.org/ebooks/39215.txt.utf-8,England -- Social life and customs -- 19th century -- Fiction,Clergy -- England -- Fiction,PR,,
1091,14534,"Finley, Martha",Christmas with Grandma Elsie,http://www.gutenberg.org/ebooks/14534.txt.utf-8,PZ,"Dinsmore, Elsie (Fictitious character) -- Juvenile fiction",Christmas stories,Christian life -- Juvenile fiction,
1211,81,"Burroughs, Edgar Rice",The Return of Tarzan,http://www.gutenberg.org/ebooks/81.txt.utf-8,PZ,Fantasy fiction,Tarzan (Fictitious character) -- Fiction,Adventure stories,PS
1478,6058,"Tourgée, Albion Winegar",Bricks Without Straw: A Novel,http://www.gutenberg.org/ebooks/6058.txt.utf-8,PS,"Reconstruction (U.S. history, 1865-1877) -- Fiction",Freedmen -- Southern States -- Fiction,African Americans -- Southern States -- Fiction,Historical fiction
1545,14211,"Ford, Paul Leicester",Wanted—A Match Maker,http://www.gutenberg.org/ebooks/14211.txt.utf-8,New York (N.Y.) -- Fiction,Love stories,Medical fiction,PS,
1619,29776,"Libbey, Laura Jean","Pretty Madcap Dorothy; Or, How She Won a Lover",http://www.gutenberg.org/ebooks/29776.txt.utf-8,PS,United States -- Social life and customs -- 1865-1918 -- Fiction,Bookbinders -- New York (State) -- New York -- Fiction,Women employees -- New York (State) -- New York -- Fiction,
1737,21664,"Castlemon, Harry","George at the Fort; Or, Life Among the Soldiers",http://www.gutenberg.org/ebooks/21664.txt.utf-8,PZ,Conduct of life -- Juvenile fiction,Soldiers -- Juvenile fiction,Friendship -- Juvenile fiction,Indians of North America -- Juvenile fiction
2085,149,"Burroughs, Edgar Rice",The Lost Continent,http://www.gutenberg.org/ebooks/149.txt.utf-8,England -- Fiction,PS,Science fiction,Fantasy fiction,
2152,702,"Young, Martha",Somebody's Little Girl,http://www.gutenberg.org/ebooks/702.txt.utf-8,PZ,Girls -- Juvenile fiction,Orphanages -- Juvenile fiction,,
2206,41802,"Castlemon, Harry",Frank in the Mountains,http://www.gutenberg.org/ebooks/41802.txt.utf-8,Youth -- Conduct of life -- Juvenile fiction,PZ,Western stories,Conduct of life -- Juvenile fiction,Outdoor life -- Juvenile fiction
2254,111,"Stratton-Porter, Gene",Freckles,http://www.gutenberg.org/files/111/111-0.txt,PS,PZ,Orphans -- Fiction,Swamps -- Fiction,People with disabilities -- Fiction
2472,33066,"Brand, Max",The Garden of Eden,http://www.gutenberg.org/ebooks/33066.txt.utf-8,PS,Western stories,Horses -- Fiction,Religion -- Fiction,
3040,5895,"Curwood, James Oliver",The Honor of the Big Snows,http://www.gutenberg.org/ebooks/5895.txt.utf-8,"Northwest, Canadian -- Fiction",Western stories,Wilderness areas -- Fiction,PS,
3353,39216,"Weyman, Stanley John",The Snowball,http://www.gutenberg.org/ebooks/39216.txt.utf-8,PR,Historical fiction,"France -- History -- Henry IV, 1589-1610 -- Fiction",,
3453,96,"Burroughs, Edgar Rice",The Monster Men,http://www.gutenberg.org/ebooks/96.txt.utf-8,PS,Fantasy fiction,Science fiction,,
3487,25159,"Footner, Hulbert",Two on the Trail: A Story of the Far Northwest,http://www.gutenberg.org/ebooks/25159.txt.utf-8,PS,Canada -- Fiction,Adventure stories,,
3637,25875,"Footner, Hulbert",The Woman from Outside [On Swan River],http://www.gutenberg.org/ebooks/25875.txt.utf-8,PS,Detective and mystery stories,Royal North West Mounted Police (Canada) -- Fiction,Canada -- Fiction,
3999,1939,"Weyman, Stanley John",A Gentleman of France: Being the Memoirs of Gaston de Bonne Sieur de Marsac,http://www.gutenberg.org/files/1939/1939-0.txt,PR,Historical fiction,"France -- History -- Henry III, 1574-1589 -- Fiction",,
4045,31635,"Tracy, Louis",The Silent Barrier,http://www.gutenberg.org/ebooks/31635.txt.utf-8,PR,Voyages and travels -- Fiction,Mystery fiction,Switzerland -- Fiction,Adventure stories
4203,42358,"Castlemon, Harry",Frank at Don Carlos' Rancho,http://www.gutenberg.org/files/42358/42358-0.txt,Children -- Conduct of life -- Juvenile fiction,PZ,Conduct of life -- Juvenile fiction,Ranches -- Juvenile fiction,Country life -- Juvenile fiction
4486,2079,"Weyman, Stanley John",From the Memoirs of a Minister of France,http://www.gutenberg.org/ebooks/2079.txt.utf-8,PR,France -- Kings and rulers -- Fiction,"Henry IV, King of France, 1553-1610 -- Fiction",Biographical fiction,
4611,286,"Stratton-Porter, Gene",Laddie: A True Blue Story,http://www.gutenberg.org/ebooks/286.txt.utf-8,PS,Didactic fiction,Indiana -- Fiction,,
4843,26616,"Leslie, Madeline",Minnie's Pet Dog,http://www.gutenberg.org/ebooks/26616.txt.utf-8,Children -- Conduct of life -- Juvenile fiction,Children and animals -- Juvenile fiction,Dogs -- Juvenile fiction,PZ,Pets -- Social aspects -- Juvenile fiction
5135,6352,"Holmes, Mary Jane","Dora Deane; Or, The East India Uncle",http://www.gutenberg.org/ebooks/6352.txt.utf-8,Uncles -- Fiction,Conduct of life -- Fiction,Orphans -- Fiction,Domestic fiction,PS
5149,48357,"Finley, Martha",Elsie and Her Loved Ones,http://www.gutenberg.org/files/48357/48357-0.txt,War -- Juvenile fiction,Parent and child -- Juvenile fiction,PZ,Soldiers -- Juvenile fiction,Family -- Juvenile fiction
5644,38985,"Weyman, Stanley John",My Lady Rotha: A Romance,http://www.gutenberg.org/ebooks/38985.txt.utf-8,"Thirty Years' War, 1618-1648 -- Fiction",PR,Historical fiction,,
5838,10696,"Curwood, James Oliver",The Danger Trail,http://www.gutenberg.org/ebooks/10696.txt.utf-8,PS,Northwest Territories -- Fiction,Hudson Bay Railway -- Fiction,,
6387,4748,"Curwood, James Oliver","Baree, Son of Kazan",http://www.gutenberg.org/ebooks/4748.txt.utf-8,PS,Western stories,Nature stories,Dogs -- Fiction,Wolves -- Fiction
6404,14379,"Finley, Martha",Elsie at Nantucket,http://www.gutenberg.org/ebooks/14379.txt.utf-8,Nantucket Island (Mass.) -- Juvenile fiction,Obedience -- Juvenile fiction,Faith -- Juvenile fiction,PZ,Family life -- Massachusetts -- Juvenile fiction
