text	popularity	val	author	title
2192	High popularity	0.04729	Galsworthy, John	The Dark Flower
3242	High popularity	0.04801	Connor, Ralph	The Doctor : A Tale of the Rockies
7100	High popularity	0.04522	Twain, Mark	Adventures of Huckleberry Finn, Chapters 01 to 05
3247	High popularity	0.05707	Connor, Ralph	The Patrol of the Sun Dance Trail
5841	High popularity	0.03757	Twain, Mark	Sketches New and Old, Part 6.
3722	High popularity	0.05032	Stratton-Porter, Gene	A Daughter of the Land
43083	High popularity	0.04022	Hope, Anthony	A Young Man's Year
5405	High popularity	0.04785	Beach, Rex	The Ne'er-Do-Well
1028	High popularity	0.03950	Brontë, Charlotte	The Professor
39215	High popularity	0.06053	Weyman, Stanley John	The New Rector
7102	High popularity	0.04318	Twain, Mark	Adventures of Huckleberry Finn, Chapters 11 to 15
8188	High popularity	0.06820	Alcott, Louisa May	The Mysterious Key and What It Opened
139	High popularity	0.04452	Doyle, Arthur Conan	The Lost World
81	High popularity	0.05919	Burroughs, Edgar Rice	The Return of Tarzan
37581	High popularity	0.04134	Dickens, Charles	The Cricket on the Hearth: A Fairy Tale of Home
37364	High popularity	0.04606	Kipling, Rudyard	The Second Jungle Book
48732	High popularity	0.03663	Hugo, Victor	Les Misérables, v. 2/5: Cosette
14211	High popularity	0.05992	Ford, Paul Leicester	Wanted—A Match Maker
2596	High popularity	0.04653	Galsworthy, John	The Forsyte Saga, Volume III. Awakening To Let
11052	High popularity	0.04823	Wharton, Edith	The Custom of the Country
2158	High popularity	0.02565	Trollope, Anthony	The Prime Minister
5165	High popularity	0.04596	Corelli, Marie	Innocent : her fancy and his fact
29568	High popularity	0.04013	Bacheller, Irving	'Charge It': Keeping Up With Harry
17359	High popularity	0.05405	MacGrath, Harold	Arms and the Woman
3289	High popularity	0.03955	Doyle, Arthur Conan	The Valley of Fear
163	High popularity	0.04700	Alcott, Louisa May	Flower Fables
786	High popularity	0.04006	Dickens, Charles	Hard Times
42729	High popularity	0.03223	Black, William	Stand Fast, Craig-Royston! (Volume I)
149	High popularity	0.05915	Burroughs, Edgar Rice	The Lost Continent
