text	prestige	val	author	title
45801	High prestige	0.04254	Benson, E. F. (Edward Frederic)	The House of Defence v. 2
1059	High prestige	0.02929	Wells, H. G. (Herbert George)	The World Set Free
29573	High prestige	0.05121	Crane, Stephen	The O'Ruddy: A Romance
7709	High prestige	0.03362	Lytton, Edward Bulwer Lytton, Baron	My Novel — Volume 08
780	High prestige	0.05186	Wells, H. G. (Herbert George)	The War in the Air
416	High prestige	0.05865	Anderson, Sherwood	Winesburg, Ohio: A Group of Tales of Ohio Small Town Life
7684	High prestige	0.03032	Lytton, Edward Bulwer Lytton, Baron	Harold : the Last of the Saxon Kings — Complete
36	High prestige	0.06668	Wells, H. G. (Herbert George)	The War of the Worlds
36220	High prestige	0.05479	Robins, Elizabeth	My Little Sister
12224	High prestige	0.03478	Whitney, A. D. T. (Adeline Dutton Train)	We Girls: a Home Story
25919	High prestige	0.04575	Benson, E. F. (Edward Frederic)	Miss Mapp
35920	High prestige	0.04618	Wells, H. G. (Herbert George)	The Sea Lady
13997	High prestige	0.02882	Whitney, A. D. T. (Adeline Dutton Train)	Real Folks
1303	High prestige	0.04859	Caine, Hall, Sir	The Scapegoat
26986	High prestige	0.04860	Stacpoole, H. De Vere (Henry De Vere)	The Ghost Girl
15808	High prestige	0.04498	Benson, Robert Hugh	The History of Richard Raynal, Solitary
7598	High prestige	0.03174	Lytton, Edward Bulwer Lytton, Baron	The Caxtons: A Family Picture — Volume 13
16092	High prestige	0.06038	Warden, Florence	The Wharf by the Docks: A Novel
42246	High prestige	0.04657	Richards, Laura Elizabeth Howe	Quicksilver Sue
7680	High prestige	0.03298	Lytton, Edward Bulwer Lytton, Baron	Harold : the Last of the Saxon Kings — Volume 09
13417	High prestige	0.05909	Chekhov, Anton Pavlovich	The Cook's Wedding and Other Stories
7045	High prestige	0.05887	Anderson, Sherwood	Marching Men
7742	High prestige	0.03285	Lytton, Edward Bulwer Lytton, Baron	The Parisians — Volume 06
42801	High prestige	0.03524	Ford, Ford Madox	The Young Lovell A Romance
23247	High prestige	0.03952	Catherwood, Mary Hartwell	The Cursed Patois From "Mackinac And Lake Stories", 1899
8206	High prestige	0.03428	Lytton, Edward Bulwer Lytton, Baron	The Pilgrims of the Rhine
27447	High prestige	0.05907	Hergesheimer, Joseph	Mountain Blood: A Novel
25829	High prestige	0.04276	Bottome, Phyllis	The Dark Tower
23248	High prestige	0.04420	Catherwood, Mary Hartwell	The Black Feather From "Mackinac And Lake Stories", 1899
7672	High prestige	0.02022	Lytton, Edward Bulwer Lytton, Baron	Harold : the Last of the Saxon Kings — Volume 01
7623	High prestige	0.04117	Lytton, Edward Bulwer Lytton, Baron	Pelham — Complete
33999	High prestige	0.05548	Caine, Hall, Sir	The Bondman: A New Saga
35198	High prestige	0.02660	Macaulay, Rose	What Not: A Prophetic Comedy
40797	High prestige	0.04156	Benson, E. F. (Edward Frederic)	Mammon and Co.
16329	High prestige	0.03114	Whitney, A. D. T. (Adeline Dutton Train)	The Other Girls
3805	High prestige	0.04650	Merriman, Henry Seton	The Vultures
3075	High prestige	0.05020	De la Mare, Walter	The Return
18631	High prestige	0.05835	Catherwood, Mary Hartwell	The Lady of Fort St. John
34619	High prestige	0.03693	Malet, Lucas	The Gateless Barrier
7592	High prestige	0.02832	Lytton, Edward Bulwer Lytton, Baron	The Caxtons: A Family Picture — Volume 07
5259	High prestige	0.05504	Richards, Laura Elizabeth Howe	Hildegarde's Neighbors
7746	High prestige	0.02639	Lytton, Edward Bulwer Lytton, Baron	The Parisians — Volume 10
2698	High prestige	0.02182	Holmes, Oliver Wendell	A Mortal Antipathy
25448	High prestige	0.04905	Richards, Laura Elizabeth Howe	Peggy
26088	High prestige	0.06322	Caine, Hall, Sir	A Son of Hagar: A Romance of Our Time
204	High prestige	0.04811	Chesterton, G. K. (Gilbert Keith)	The Innocence of Father Brown
3019	High prestige	0.05958	Richardson, Dorothy M. (Dorothy Miller)	Pointed Roofs: Pilgrimage, Volume 1
1696	High prestige	0.05102	Chesterton, G. K. (Gilbert Keith)	The Club of Queer Trades
6909	High prestige	0.05570	Catherwood, Mary Hartwell	Old Caravan Days
34538	High prestige	0.05361	Morrison, Arthur	The Hole in the Wall
31320	High prestige	0.04668	Richards, Laura Elizabeth Howe	The Wooing of Calvin Parks
30855	High prestige	0.04069	Wells, H. G. (Herbert George)	The Wife of Sir Isaac Harman
41188	High prestige	0.03849	Richards, Laura Elizabeth Howe	Narcissa, or the Road to Rome; In Verona
8873	High prestige	0.05039	Merriman, Henry Seton	The Isle of Unrest
14597	High prestige	0.05224	Caine, Hall, Sir	The Woman Thou Gavest Me Being the Story of Mary O'Neill
7414	High prestige	0.05523	Anderson, Sherwood	Poor White: A Novel
33886	High prestige	0.05210	Sudermann, Hermann	The Wish: A Novel
52501	High prestige	0.05611	Wells, H. G. (Herbert George)	The First Men in the Moon
159	High prestige	0.07609	Wells, H. G. (Herbert George)	The Island of Doctor Moreau
1721	High prestige	0.04251	Chesterton, G. K. (Gilbert Keith)	The Trees of Pride
40719	High prestige	0.04091	Benson, E. F. (Edward Frederic)	Dodo Wonders--
524	High prestige	0.04419	Wells, H. G. (Herbert George)	Ann Veronica: A Modern Love Story
54931	High prestige	0.04214	Cannan, Gilbert	Mendel: A Story of Youth
26698	High prestige	0.04859	Ford, Ford Madox	Privy Seal: His Last Venture
35187	High prestige	0.04033	Grahame, Kenneth	Dream Days
44486	High prestige	0.04461	Benson, E. F. (Edward Frederic)	Dodo: A Detail of the Day. Volumes 1 and 2
8396	High prestige	0.06558	Ollivant, Alfred	The Gentleman: A Romance of the Sea
1718	High prestige	0.03838	Chesterton, G. K. (Gilbert Keith)	Manalive
15135	High prestige	0.05566	Hergesheimer, Joseph	The Three Black Pennys: A Novel
50272	High prestige	0.04106	Colton, Arthur	The Cruise of The Violetta
463	High prestige	0.06796	Crane, Stephen	The Red Badge of Courage: An Episode of the American Civil War
23250	High prestige	0.04584	Catherwood, Mary Hartwell	The Skeleton On Round Island From "Mackinac And Lake Stories", 1899
27251	High prestige	0.04167	Richards, Laura Elizabeth Howe	Some Say; Neighbours in Cyrus
42428	High prestige	0.03947	Sedgwick, Anne Douglas	Adrienne Toner: A Novel
751	High prestige	0.01564	Holmes, Oliver Wendell	The Autocrat of the Breakfast-Table
40795	High prestige	0.03837	Benson, E. F. (Edward Frederic)	Scarlet and Hyssop: A Novel
45687	High prestige	0.06252	Pool, Maria Louise	Friendship and Folly: A Novel
1720	High prestige	0.04280	Chesterton, G. K. (Gilbert Keith)	The Man Who Knew Too Much
25344	High prestige	0.02443	Hawthorne, Nathaniel	The Scarlet Letter
23254	High prestige	0.05285	Catherwood, Mary Hartwell	The Cobbler In The Devil's Kitchen From "Mackinac And Lake Stories", 1899
